dateLogged,day,sleepDuration,activeCalories,floors,maxHeartRate,minHeartRate,moderateIntensityMins,restHeartRate,calories,distance,steps,vigourousIntensityMinutes,VO2MAX,weight,beers,virus,predictVirus,score
27-Mar-17,Monday,9.4,2086,71,243,36,47,43,4173,24.8,25460,106,60,78.3,0,N,N,0.00
26-Mar-17,Sunday,7.3,220,8,120,40,0,52,2318,6.8,8142,0,60,76.9,3,N,N,7.68
25-Mar-17,Saturday,8.8,1927,10,148,44,33,49,4022,15,17759,4,60,76.9,1,N,N,0.11
24-Mar-17,Friday,8.8,229,1,110,36,0,48,2324,7.3,8713,0,60,76.4,3,N,N,0.22
23-Mar-17,Thursday,8.1,1189,75,158,39,2,45,3277,23.5,21948,94,60,78.2,0,N,N,0.00
22-Mar-17,Wednesday,8,1879,0,177,40,42,42,3989,7.2,11860,109,60,75.9,0,N,N,0.00
21-Mar-17,Tuesday,7.2,553,5,155,39,1,55,2652,12.2,12886,37,59,75.9,1,N,N,1.73
20-Mar-17,Monday,6.5,307,4,125,37,0,51,2406,7.7,9215,0,58,75.9,5,N,N,0.00
19-Mar-17,Sunday,8.5,2196,241,162,44,12,50,4278,28.4,29155,164,59,75.7,3,N,N,0.01
18-Mar-17,Saturday,8.2,1547,38,169,40,11,51,3627,21,20039,79,59,76.1,4,N,N,0.01
17-Mar-17,Friday,8.6,362,11,130,41,0,48,2448,7.8,9332,0,59,76,5,N,N,0.09
16-Mar-17,Thursday,8.4,910,20,156,42,8,47,3012,13.7,13979,42,59,76,1,N,N,0.02
15-Mar-17,Wednesday,8.8,2323,30,199,37,54,37,4407,22.2,22411,125,59,77.7,0,N,N,0.00
14-Mar-17,Tuesday,8.8,1029,62,167,42,7,45,3133,13.6,13753,42,58,77.7,0,N,N,0.00
13-Mar-17,Monday,7.7,786,79,159,37,27,44,2890,15.5,11747,49,58,77.2,0,N,N,0.00
12-Mar-17,Sunday,9,488,7,128,38,0,52,2587,9.7,11577,0,57,77.8,3,N,N,8.88
11-Mar-17,Saturday,9.5,2595,64,175,44,49,52,4700,20.8,19965,130,58,77.3,3,N,N,0.04
10-Mar-17,Friday,7.7,1214,64,165,44,8,49,3313,15.1,14073,52,58,77.3,3,N,N,0.11
9-Mar-17,Thursday,7.5,1016,67,167,41,4,49,3132,14.2,13697,48,59,77.3,2,N,N,0.04
8-Mar-17,Wednesday,8.6,262,0,133,40,22,46,2348,7.3,7294,0,58,76.2,1,N,N,0.13
7-Mar-17,Tuesday,8.4,407,22,168,37,3,45,2493,4.9,6000,27,58,77.1,0,N,N,0.00
6-Mar-17,Monday,7.9,1335,1,170,41,6,49,3433,15,14682,57,58,77.6,0,N,N,0.00
5-Mar-17,Sunday,8.4,171,27,123,40,0,47,2264,6.4,7495,0,58,76.5,0,N,N,1.08
4-Mar-17,Saturday,9.9,822,26,169,38,3,44,2915,9.2,10855,35,58,78.8,0,N,N,0.00
3-Mar-17,Friday,7.1,560,12,154,36,0,55,2653,6.2,7346,0,58,76.2,2,N,N,39.84
2-Mar-17,Thursday,6.6,135,3,123,46,0,48,2228,3.4,4135,0,60,76.2,0,N,N,0.79
1-Mar-17,Wednesday,5.9,529,6,138,37,0,45,2622,8.6,10299,0,60,76.2,1,N,N,0.01
28-Feb-17,Tuesday,7.5,252,13,126,43,0,43,2345,6,7187,0,60,76.2,1,N,N,0.00
27-Feb-17,Monday,8.6,1508,5,179,45,13,55,3601,19.7,19900,54,60,76.2,7,N,N,0.00
26-Feb-17,Sunday,7.2,803,6,140,36,64,36,2896,15.6,18888,0,60,76.2,8,N,N,0.00
25-Feb-17,Saturday,8.1,653,8,149,35,0,50,2746,7.5,8862,0,61,76.2,1,N,N,0.54
24-Feb-17,Friday,8.6,773,24,158,42,9,45,2866,10.4,10723,42,61,76.4,3,N,N,0.01
23-Feb-17,Thursday,7.7,511,21,169,39,2,46,2604,7.2,7847,22,61,76.8,0,N,N,0.03
22-Feb-17,Wednesday,7.5,1451,31,157,44,14,49,3544,19.1,19274,46,61,77.1,0,N,N,0.39
21-Feb-17,Tuesday,8.8,1106,54,147,38,0,42,3204,15.4,17832,0,61,77.7,0,N,N,0.00
20-Feb-17,Monday,8.4,300,0,127,40,0,44,2404,3.9,4570,0,61,77.7,0,N,N,0.00
19-Feb-17,Sunday,9.8,472,9,134,43,0,51,2576,7.1,8375,0,61,78.1,2,N,N,20.88
18-Feb-17,Saturday,10,593,12,151,40,0,41,2703,9.2,10314,0,61,77.1,7,N,N,0.00
17-Feb-17,Friday,7.4,676,4,127,43,0,60,2773,11.8,14051,0,61,77.1,1,N,Y,97.42
16-Feb-17,Thursday,5.3,351,2,117,39,0,50,2448,9.2,11072,0,61,77.1,10,N,N,0.00
15-Feb-17,Wednesday,7.6,1507,2,169,37,18,46,3604,20.2,20349,59,61,77.1,3,N,N,0.00
14-Feb-17,Tuesday,8.8,636,5,167,35,3,45,2733,14.2,14081,27,61,77.9,3,N,N,0.00
13-Feb-17,Monday,3.2,167,11,109,32,0,32,2264,7.7,9189,0,60,78,3,N,N,0.00
12-Feb-17,Sunday,8.4,301,9,122,46,0,54,2398,8.9,10618,0,60,77.1,3,N,Y,52.84
11-Feb-17,Saturday,8.8,3389,124,171,41,10,45,5477,35.5,38637,236,60,76.4,2,N,N,0.00
10-Feb-17,Friday,7.4,314,3,151,36,6,43,2416,5.7,5688,19,60,77.5,1,N,N,0.00
9-Feb-17,Thursday,9.5,96,5,118,40,0,43,2189,3.6,4370,0,60,76.8,0,N,N,0.01
8-Feb-17,Wednesday,8.6,615,33,156,40,7,41,2715,6,7072,5,60,77,0,N,N,0.00
7-Feb-17,Tuesday,8,588,4,125,40,0,43,2688,8.5,3935,0,60,77.4,0,N,N,0.00
6-Feb-17,Monday,10.8,1011,8,156,39,1,47,3111,9.9,8893,13,60,77.4,2,N,N,0.00
5-Feb-17,Sunday,8.1,2740,25,168,45,13,51,4832,32.3,29516,151,60,76.7,1,N,N,0.07
4-Feb-17,Saturday,9.7,1970,7,176,40,47,44,4063,11.4,11671,53,60,77.2,0,N,N,0.00
3-Feb-17,Friday,7.6,92,6,118,39,0,39,2185,3.7,4448,0,60,77,2,N,N,0.00
2-Feb-17,Thursday,8.9,521,14,137,40,0,39,2614,9.6,11303,0,59,76.8,1,N,N,0.00
1-Feb-17,Wednesday,10.2,1018,10,163,34,6,38,3122,15.3,13405,53,59,77.8,1,N,N,0.00
31-Jan-17,Tuesday,8,1376,2,155,37,20,40,3480,8.7,6467,59,59,77.8,0,N,N,0.00
30-Jan-17,Monday,8,281,0,136,44,0,48,2385,5.7,6571,0,59,77.6,3,N,N,0.00
29-Jan-17,Sunday,9.2,497,54,137,43,0,48,2595,11.6,12748,0,59,77.1,4,N,N,0.19
28-Jan-17,Saturday,8.6,1317,51,169,44,4,49,3403,20.1,19566,51,59,76.1,3,N,N,0.02
27-Jan-17,Friday,8,685,11,157,42,3,45,2783,12.3,11169,41,59,77.2,3,N,N,0.01
26-Jan-17,Thursday,9.4,850,69,174,40,13,43,2955,10.8,10269,38,58,77.8,0,N,N,0.00
25-Jan-17,Wednesday,8.6,181,1,113,39,0,44,2286,6.5,7657,0,58,77.8,1,N,N,0.02
24-Jan-17,Tuesday,8.5,173,3,136,40,0,48,2273,3.4,3729,0,59,77.4,0,N,N,0.05
23-Jan-17,Monday,11.8,988,25,183,39,6,44,3086,14.1,13161,40,59,77.2,0,N,N,0.00
22-Jan-17,Sunday,8.3,991,32,150,38,24,45,3108,9.6,10995,26,59,78.7,1,N,N,0.01
21-Jan-17,Saturday,9.9,1467,11,154,41,76,43,3573,17.5,9449,18,60,77.9,3,N,N,0.00
20-Jan-17,Friday,11.5,736,49,154,35,8,45,2842,14.7,13952,43,60,77.9,2,N,N,0.02
19-Jan-17,Thursday,9.2,1036,123,167,39,44,43,3142,12.7,13043,40,59,77.9,0,N,N,0.00
18-Jan-17,Wednesday,8.8,923,15,148,31,7,45,3029,8.9,5817,16,59,77.9,0,N,N,0.03
17-Jan-17,Tuesday,7.1,934,18,164,40,7,40,3047,17.6,16751,47,59,78.4,1,N,N,0.00
16-Jan-17,Monday,11.1,1014,51,164,42,3,46,3127,18.8,19757,26,59,78.4,0,N,N,0.00
15-Jan-17,Sunday,9.1,577,5,140,40,82,46,2690,8.5,6876,1,58,78.4,2,N,N,0.03
14-Jan-17,Saturday,9.1,1314,77,163,40,12,48,3419,19,19022,65,57,77.8,0,N,N,0.03
13-Jan-17,Friday,11.6,656,26,171,45,2,47,2761,12.2,11419,44,57,77.8,0,N,N,1.94
12-Jan-17,Thursday,10.7,1177,66,168,39,6,45,3282,14.5,11934,35,57,77.8,0,N,N,0.02
11-Jan-17,Wednesday,8.6,338,0,153,40,3,46,2447,6.1,6087,19,57,78.1,0,N,N,0.31
10-Jan-17,Tuesday,12.2,774,8,151,42,6,45,2883,6.9,3997,18,57,78.1,0,N,N,0.01
9-Jan-17,Monday,10.4,256,2,152,46,3,46,2370,5.7,5331,17,57,78.4,0,N,N,0.00
8-Jan-17,Sunday,9.6,183,2,135,39,0,55,2296,3.4,3980,0,57,78.4,2,Y,Y,87.89
7-Jan-17,Saturday,9.6,608,9,145,55,3,65,2721,8.4,9786,9,56,78.4,0,Y,Y,99.97
6-Jan-17,Friday,8.4,719,1,126,60,0,64,2832,7.5,8953,0,56,78.4,2,Y,Y,99.88
5-Jan-17,Thursday,9.4,1327,7,160,52,6,54,3441,10.2,11527,11,56,78.5,1,Y,Y,60.01
4-Jan-17,Wednesday,9.1,443,20,119,45,0,46,2548,7.4,8763,0,56,77.8,2,N,N,0.20
3-Jan-17,Tuesday,9.6,1086,25,164,46,21,47,3191,9.3,10449,34,56,77.8,0,N,N,0.01
2-Jan-17,Monday,8.6,2927,273,164,45,14,48,5032,30.5,30560,177,56,77.8,0,N,N,0.00
